B,4,7,4,5,3,6,7,8,6,7,6,7,2,8,9,10
M,10,9,10,4,4,7,11,5,5,4,5,10,10,12,2,7
W,6,9,6,7,7,4,9,2,3,9,8,8,7,11,2,6
C,7,12,5,6,4,7,6,4,3,9,8,11,4,9,8,11
P,1,3,3,2,1,6,10,3,3,12,6,4,0,9,2,8
P,6,10,9,8,7,8,9,5,4,11,4,4,2,10,3,8
B,2,1,2,2,1,7,7,8,5,6,6,7,2,8,7,10
Y,6,10,6,5,3,6,8,4,3,10,8,5,3,10,4,4
J,9,14,7,11,6,9,9,2,4,12,4,5,2,9,8,9
P,4,9,5,6,2,3,14,7,1,11,6,3,0,10,4,8
N,5,9,6,6,5,7,7,9,5,6,4,5,5,8,5,11
A,6,9,5,4,2,11,3,3,1,9,3,10,4,5,4,10
K,2,4,3,2,2,5,7,4,7,7,7,11,3,9,5,10
U,9,10,7,5,3,5,3,5,5,3,7,7,5,8,2,7
V,8,11,7,8,4,3,11,3,4,10,12,8,3,10,1,7
I,2,5,3,3,1,7,8,1,7,14,6,7,0,8,1,7
V,3,2,6,4,2,7,12,2,3,7,11,9,3,10,1,8
T,5,10,7,8,6,6,7,7,7,6,8,9,4,10,7,6
B,5,11,8,8,10,9,5,5,5,7,7,7,7,9,8,9
W,6,10,9,8,8,6,12,2,2,7,8,8,7,12,1,8
T,5,10,5,7,4,4,12,3,5,11,10,5,2,13,2,4
A,3,5,5,4,2,10,2,2,2,9,2,9,2,6,2,8
O,2,4,3,3,2,7,7,6,4,9,7,7,2,8,3,8
G,2,0,2,1,1,8,6,6,5,6,5,9,2,8,5,10
V,3,7,4,5,2,9,9,4,2,5,13,8,2,10,0,8
E,2,7,3,5,3,3,8,5,9,7,6,13,0,8,6,9
C,6,8,6,6,3,3,8,4,7,10,10,13,1,7,3,7
W,2,3,3,1,2,8,11,2,1,6,9,8,5,11,0,8
V,4,9,6,6,4,8,10,2,1,6,10,8,3,10,3,9
S,5,8,6,6,3,9,7,4,8,11,4,8,2,8,5,9
F,3,3,4,4,1,1,15,5,3,12,9,4,0,8,2,6
T,2,3,3,2,1,7,12,3,6,7,11,8,1,11,1,8
Q,3,3,4,5,4,8,8,6,2,5,7,9,3,8,5,10
G,3,3,4,5,2,7,7,8,7,6,5,11,2,8,5,10
R,3,8,5,6,6,8,8,3,4,6,6,8,6,10,7,6
