t,kappa,iter_cg,iter_pcg,diag_dom
0.1,21743.799396779847,78,78,-87.57245357389367
0.5,2578.6250209867835,72,72,-57.303388704014
1.0,763.907755747906,66,66,-35.39356248043262
2.0,176.63798618959146,55,55,-15.309379768133336
3.0,68.65661047026157,47,47,-8.104519566911465
5.0,20.971094916103446,35,35,-3.0856738668076247
7.0,11.2863176070625,27,27,-1.6598701147417594
10.0,6.685518005522201,22,22,-0.8547880388732643
15.0,3.7911193223234356,17,17,-0.1907214628377667
20.0,2.6110481125726923,13,13,0.18511601071787176
