n,t,Direct,CG,PCG,NVD,kappa,iter_cg,iter_pcg,speedup_cg,speedup_pcg
50,0.1,0.0005172138000489213,0.003771260200301185,0.005679406797571574,0.009837222399073652,10130.735767952383,53,53,0.13714614547349846,0.09106827851635384
50,0.5,0.00013774599647149445,0.002180521401169244,0.003533669401076622,0.005546755800605751,1275.624422496059,50,50,0.06317112796858218,0.03898100836188202
50,1.0,0.0001273047993890941,0.0021658390018274077,0.003498076999676414,0.005457293002109509,400.89076833613274,50,50,0.05877851459950707,0.03639279507022582
50,2.0,0.00012575219880091028,0.001823383201553952,0.0030068919993937017,0.005522191598720383,101.95133959263043,42,42,0.06896641292611437,0.041821322091470686
50,3.0,0.00012102559994673357,0.0015966454011504538,0.002606665999337565,0.005535029798920732,42.99007211321641,36,36,0.07579992392771072,0.04642927017787854
50,5.0,0.00012129419919801876,0.00126357260014629,0.0021560341978329235,0.006012547801947221,14.980765343935968,28,28,0.09599305903275834,0.05625801266043655
50,7.0,0.00012318899971432983,0.0010799309995491058,0.0018781544000376015,0.005458197199914139,8.374202442300577,24,24,0.11407117655272778,0.0655904539647345
50,10.0,0.00012168260145699606,0.0009043345984537154,0.0016071651989477687,0.005968201399082318,5.043196556916254,19,19,0.13455484470577167,0.07571256616100398
50,15.0,0.00012593279971042647,0.0007055769994622097,0.0013111786000081338,0.005415014000027441,2.952180584367965,15,15,0.17848200806774084,0.09604549655527116
50,20.0,0.00012039899884257466,0.0005838135999510996,0.0010853045998374,0.008335746801458299,2.1068097748473913,12,12,0.20622849288310396,0.11093567544135793
100,0.1,0.0006196087982971221,0.003678407799452543,0.009363521599152592,0.07535998660023324,19170.86201546944,80,80,0.1684448359394351,0.06617262444860461
100,0.5,0.0005231811999692581,0.0034162104027927855,0.0053693007997935634,0.014157936599804088,2115.0626054820923,77,77,0.15314665617245132,0.09743935374031813
100,1.0,0.0005029468011343852,0.004925310997350607,0.004879352000716608,0.014562326601298992,601.5004409661793,68,68,0.10211472969015098,0.10307655628462953
100,2.0,0.000513476599007845,0.002480673001264222,0.003983949200483039,0.014279966201866046,137.4220821424135,55,55,0.20699084431771644,0.12888633192049434
100,3.0,0.0005088078003609553,0.002252847398631275,0.0034117554023396224,0.014991378800186795,54.4281508991243,46,46,0.22585098336890602,0.14913372746828177
100,5.0,0.0005846941989148035,0.0015251956021529623,0.0024865138009772638,0.017243007001525257,17.395872853025587,33,33,0.38335686130319985,0.2351461707894015
100,7.0,0.0007483919995138422,0.0013351404006243684,0.0020627063990104944,0.014274861798912752,8.861331055716075,26,26,0.5605343072263129,0.36282041878226345
100,10.0,0.0016414423997048288,0.0010213155997917055,0.0017150860003312118,0.01450546740234131,4.934636102619804,21,21,1.6071843023249586,0.9570612782028649
100,15.0,0.0005024072001106106,0.000903241201012861,0.0016705369998817332,0.014337528600299266,3.0800187590421,16,16,0.5562270626574938,0.30074592789395194
100,20.0,0.0005410559984738939,0.0006597091996809468,0.0012014390027616172,0.014480193000053987,2.334148974607806,13,13,0.8201431763200562,0.4503399650171397
150,0.1,0.001224175002425909,0.006018934398889541,0.008730094600468873,0.09610993520182091,53292.000066049026,114,114,0.2033873309288372,0.14022471215376764
150,0.5,0.0009642880017054267,0.005531470599817112,0.008021020599699114,0.07649792380107101,5928.740032528624,103,103,0.17432760136830686,0.12022011285466581
150,1.0,0.001183397602289915,0.0050115251971874384,0.0075855035989661704,0.0330898485990474,1684.647425860228,98,98,0.23613521946453744,0.15600778337923413
150,2.0,0.0009522649997961707,0.004188634600723162,0.006212182198942174,0.03346367859921884,383.6193633906924,79,79,0.22734496812678848,0.15328993408440675
150,3.0,0.0009765363996848464,0.003423905999807175,0.005173523398116231,0.03342529540095711,151.25955188329263,65,65,0.2852112177553479,0.18875654453218865
150,5.0,0.0009447631993680262,0.0025288908029324373,0.00396424799982924,0.03412245680083288,47.155802316339376,48,48,0.3735879770975096,0.23832091216511223
150,7.0,0.0009999390007578769,0.0020708891985123045,0.0032735478001995944,0.05151433460123371,23.040888512560958,39,39,0.4828549018828327,0.3054603328831516
150,10.0,0.0009827159985434264,0.0016184928012080491,0.0026030709996121004,0.03289412640151568,12.432095161808528,30,30,0.607179715479688,0.3775217805007497
150,15.0,0.0009331567998742685,0.0012682664004387335,0.002072755599510856,0.03367129660036881,6.679556656423424,23,23,0.735773493290889,0.4502010753677287
150,20.0,0.0009466912015341222,0.001057525200303644,0.00178183359967079,0.03308128439966822,4.545525408400423,19,19,0.8951949336642774,0.5313016892873903
200,0.1,0.02331937159760855,0.01091019379964564,0.01282144999859156,0.11811554999876535,247094.5896336264,182,182,2.137392976315962,1.8187780321391254
200,0.5,0.0015255726015311667,0.009635881999565754,0.012143837801704648,0.07259859880141448,27209.313207847947,174,174,0.15832205101722058,0.12562524520189325
200,1.0,0.0016101089975563809,0.008822984200378414,0.011591794998093975,0.052172144800715615,7730.4612763471005,150,150,0.18249029591227467,0.13890074814307268
200,2.0,0.001541232802264858,0.007014468997658696,0.010514992001117208,0.0639575090026483,1778.5456555788003,128,128,0.21972194941331893,0.14657479550161365
200,3.0,0.001668332600092981,0.0063032097998075185,0.00920461299829185,0.05433482399967034,708.6199993587272,107,107,0.2646798461545619,0.18124961912060644
200,5.0,0.0015557610007817858,0.0043811323994304985,0.0064887091997661624,0.07260238840099191,224.41036488272803,78,78,0.35510476720220063,0.23976432798650488
200,7.0,0.001766196398239117,0.0037829531996976585,0.005500042598578147,0.05691925960127264,111.05700172725109,62,62,0.4668829628609403,0.3211241306923165
200,10.0,0.00150867600023048,0.002763538398721721,0.004235648800386116,0.056113200400432106,56.53867000838842,49,49,0.5459218518289163,0.35618533814535125
200,15.0,0.0019602839995059183,0.0023389663983834907,0.003524305802420713,0.07061218700109748,28.29515373301004,38,38,0.8380984014395043,0.5562184751843818
200,20.0,0.0016744922017096543,0.0018959382025059313,0.0030492838021018544,0.060921564801537896,20.042760177372788,32,32,0.8831997791364804,0.5491427857765933
300,0.1,0.0011783830021158792,0.016208236600505188,0.012043556800927035,0.15589719340059674,354970.7065276303,181,181,0.07270272708624889,0.09784343791405334
300,0.5,0.00309847059979802,0.013716357400699052,0.011772738800209482,0.4115427468001144,39818.23134511094,172,172,0.2258960239429243,0.2631902951709832
